kind,position,result,stim_left,stim_right,stim_left_name,stim_right_name,correctAns
0,1,1,21,23,stimuli/tunga_21.bmp,stimuli/tunga_23.bmp,
1,1,1,14,19,stimuli/tunga_14.bmp,stimuli/tunga_19.bmp,
0,1,1,21,23,stimuli/tunga_21.bmp,stimuli/tunga_23.bmp,
1,0,1,19,14,stimuli/tunga_19.bmp,stimuli/tunga_14.bmp,space
2,0,-1,22,24,stimuli/tunga_22.bmp,stimuli/tunga_24.bmp,
0,1,-1,21,23,stimuli/tunga_21.bmp,stimuli/tunga_23.bmp,space
0,0,1,23,21,stimuli/tunga_23.bmp,stimuli/tunga_21.bmp,space
1,1,1,14,19,stimuli/tunga_14.bmp,stimuli/tunga_19.bmp,
1,0,1,19,14,stimuli/tunga_19.bmp,stimuli/tunga_14.bmp,space
0,1,1,21,23,stimuli/tunga_21.bmp,stimuli/tunga_23.bmp,
0,1,1,21,23,stimuli/tunga_21.bmp,stimuli/tunga_23.bmp,
0,0,1,23,21,stimuli/tunga_23.bmp,stimuli/tunga_21.bmp,space
1,1,1,14,19,stimuli/tunga_14.bmp,stimuli/tunga_19.bmp,
1,0,1,19,14,stimuli/tunga_19.bmp,stimuli/tunga_14.bmp,space
0,0,1,23,21,stimuli/tunga_23.bmp,stimuli/tunga_21.bmp,space
2,1,1,24,22,stimuli/tunga_24.bmp,stimuli/tunga_22.bmp,
0,0,1,23,21,stimuli/tunga_23.bmp,stimuli/tunga_21.bmp,space
1,1,1,14,19,stimuli/tunga_14.bmp,stimuli/tunga_19.bmp,
1,1,-1,14,19,stimuli/tunga_14.bmp,stimuli/tunga_19.bmp,space
0,0,1,23,21,stimuli/tunga_23.bmp,stimuli/tunga_21.bmp,space
2,1,-1,24,22,stimuli/tunga_24.bmp,stimuli/tunga_22.bmp,space
0,0,1,23,21,stimuli/tunga_23.bmp,stimuli/tunga_21.bmp,space
2,0,1,22,24,stimuli/tunga_22.bmp,stimuli/tunga_24.bmp,space
2,1,1,24,22,stimuli/tunga_24.bmp,stimuli/tunga_22.bmp,
2,0,1,22,24,stimuli/tunga_22.bmp,stimuli/tunga_24.bmp,space
1,0,1,19,14,stimuli/tunga_19.bmp,stimuli/tunga_14.bmp,space
1,0,-1,19,14,stimuli/tunga_19.bmp,stimuli/tunga_14.bmp,
2,0,1,22,24,stimuli/tunga_22.bmp,stimuli/tunga_24.bmp,space
2,1,1,24,22,stimuli/tunga_24.bmp,stimuli/tunga_22.bmp,
0,1,1,21,23,stimuli/tunga_21.bmp,stimuli/tunga_23.bmp,
2,1,1,24,22,stimuli/tunga_24.bmp,stimuli/tunga_22.bmp,
2,0,1,22,24,stimuli/tunga_22.bmp,stimuli/tunga_24.bmp,space
1,1,-1,14,19,stimuli/tunga_14.bmp,stimuli/tunga_19.bmp,space
1,0,1,19,14,stimuli/tunga_19.bmp,stimuli/tunga_14.bmp,space
2,0,1,22,24,stimuli/tunga_22.bmp,stimuli/tunga_24.bmp,space
2,1,1,24,22,stimuli/tunga_24.bmp,stimuli/tunga_22.bmp,
