kind,position,result,stim_left,stim_right,stim_left_name,stim_right_name,correct
1,0,1,20,13,stimuli/tunga_20.bmp,stimuli/tunga_13.bmp,0
1,0,1,20,13,stimuli/tunga_20.bmp,stimuli/tunga_13.bmp,0
0,1,1,16,18,stimuli/tunga_16.bmp,stimuli/tunga_18.bmp,1
2,0,-1,15,17,stimuli/tunga_15.bmp,stimuli/tunga_17.bmp,1
1,0,1,20,13,stimuli/tunga_20.bmp,stimuli/tunga_13.bmp,0
0,0,1,18,16,stimuli/tunga_18.bmp,stimuli/tunga_16.bmp,0
0,0,-1,18,16,stimuli/tunga_18.bmp,stimuli/tunga_16.bmp,1
2,0,1,15,17,stimuli/tunga_15.bmp,stimuli/tunga_17.bmp,0
0,1,1,16,18,stimuli/tunga_16.bmp,stimuli/tunga_18.bmp,1
2,1,1,17,15,stimuli/tunga_17.bmp,stimuli/tunga_15.bmp,1
1,0,1,20,13,stimuli/tunga_20.bmp,stimuli/tunga_13.bmp,0
2,0,1,15,17,stimuli/tunga_15.bmp,stimuli/tunga_17.bmp,0
2,1,1,17,15,stimuli/tunga_17.bmp,stimuli/tunga_15.bmp,1
0,0,1,18,16,stimuli/tunga_18.bmp,stimuli/tunga_16.bmp,0
0,0,1,18,16,stimuli/tunga_18.bmp,stimuli/tunga_16.bmp,0
2,0,1,15,17,stimuli/tunga_15.bmp,stimuli/tunga_17.bmp,0
2,1,1,17,15,stimuli/tunga_17.bmp,stimuli/tunga_15.bmp,1
1,0,1,20,13,stimuli/tunga_20.bmp,stimuli/tunga_13.bmp,0
2,1,-1,17,15,stimuli/tunga_17.bmp,stimuli/tunga_15.bmp,0
0,1,1,16,18,stimuli/tunga_16.bmp,stimuli/tunga_18.bmp,1
2,0,1,15,17,stimuli/tunga_15.bmp,stimuli/tunga_17.bmp,0
0,1,1,16,18,stimuli/tunga_16.bmp,stimuli/tunga_18.bmp,1
1,0,1,20,13,stimuli/tunga_20.bmp,stimuli/tunga_13.bmp,0
2,1,1,17,15,stimuli/tunga_17.bmp,stimuli/tunga_15.bmp,1
0,1,1,16,18,stimuli/tunga_16.bmp,stimuli/tunga_18.bmp,1
1,0,1,20,13,stimuli/tunga_20.bmp,stimuli/tunga_13.bmp,0
2,1,1,17,15,stimuli/tunga_17.bmp,stimuli/tunga_15.bmp,1
0,1,1,16,18,stimuli/tunga_16.bmp,stimuli/tunga_18.bmp,1
1,1,1,13,20,stimuli/tunga_13.bmp,stimuli/tunga_20.bmp,1
1,1,1,13,20,stimuli/tunga_13.bmp,stimuli/tunga_20.bmp,1
1,1,1,13,20,stimuli/tunga_13.bmp,stimuli/tunga_20.bmp,1
2,1,1,17,15,stimuli/tunga_17.bmp,stimuli/tunga_15.bmp,1
0,1,-1,16,18,stimuli/tunga_16.bmp,stimuli/tunga_18.bmp,0
0,1,1,16,18,stimuli/tunga_16.bmp,stimuli/tunga_18.bmp,1
1,0,-1,20,13,stimuli/tunga_20.bmp,stimuli/tunga_13.bmp,1
1,0,1,20,13,stimuli/tunga_20.bmp,stimuli/tunga_13.bmp,0
