kind,position,result,stim_left,stim_right,stim_left_name,stim_right_name,correctAns
2,0,1,12,2,stimuli/tunga_12.bmp,stimuli/tunga_02.bmp,space
0,0,-1,4,1,stimuli/tunga_04.bmp,stimuli/tunga_01.bmp,
1,1,1,7,11,stimuli/tunga_07.bmp,stimuli/tunga_11.bmp,
0,1,-1,1,4,stimuli/tunga_01.bmp,stimuli/tunga_04.bmp,space
1,0,1,11,7,stimuli/tunga_11.bmp,stimuli/tunga_07.bmp,space
1,1,1,7,11,stimuli/tunga_07.bmp,stimuli/tunga_11.bmp,
1,1,1,7,11,stimuli/tunga_07.bmp,stimuli/tunga_11.bmp,
0,0,1,4,1,stimuli/tunga_04.bmp,stimuli/tunga_01.bmp,space
2,0,1,12,2,stimuli/tunga_12.bmp,stimuli/tunga_02.bmp,space
1,1,-1,7,11,stimuli/tunga_07.bmp,stimuli/tunga_11.bmp,space
1,0,-1,11,7,stimuli/tunga_11.bmp,stimuli/tunga_07.bmp,
1,0,1,11,7,stimuli/tunga_11.bmp,stimuli/tunga_07.bmp,space
1,1,1,7,11,stimuli/tunga_07.bmp,stimuli/tunga_11.bmp,
2,1,1,2,12,stimuli/tunga_02.bmp,stimuli/tunga_12.bmp,
0,0,1,4,1,stimuli/tunga_04.bmp,stimuli/tunga_01.bmp,space
1,1,1,7,11,stimuli/tunga_07.bmp,stimuli/tunga_11.bmp,
2,1,1,2,12,stimuli/tunga_02.bmp,stimuli/tunga_12.bmp,
1,1,-1,7,11,stimuli/tunga_07.bmp,stimuli/tunga_11.bmp,space
0,0,1,4,1,stimuli/tunga_04.bmp,stimuli/tunga_01.bmp,space
0,0,1,4,1,stimuli/tunga_04.bmp,stimuli/tunga_01.bmp,space
0,1,1,1,4,stimuli/tunga_01.bmp,stimuli/tunga_04.bmp,
0,1,1,1,4,stimuli/tunga_01.bmp,stimuli/tunga_04.bmp,
0,1,1,1,4,stimuli/tunga_01.bmp,stimuli/tunga_04.bmp,
2,1,1,2,12,stimuli/tunga_02.bmp,stimuli/tunga_12.bmp,
0,1,-1,1,4,stimuli/tunga_01.bmp,stimuli/tunga_04.bmp,space
0,1,1,1,4,stimuli/tunga_01.bmp,stimuli/tunga_04.bmp,
1,1,-1,7,11,stimuli/tunga_07.bmp,stimuli/tunga_11.bmp,space
2,0,1,12,2,stimuli/tunga_12.bmp,stimuli/tunga_02.bmp,space
2,1,-1,2,12,stimuli/tunga_02.bmp,stimuli/tunga_12.bmp,space
1,1,1,7,11,stimuli/tunga_07.bmp,stimuli/tunga_11.bmp,
2,0,1,12,2,stimuli/tunga_12.bmp,stimuli/tunga_02.bmp,space
0,0,1,4,1,stimuli/tunga_04.bmp,stimuli/tunga_01.bmp,space
0,0,1,4,1,stimuli/tunga_04.bmp,stimuli/tunga_01.bmp,space
2,0,1,12,2,stimuli/tunga_12.bmp,stimuli/tunga_02.bmp,space
0,1,1,1,4,stimuli/tunga_01.bmp,stimuli/tunga_04.bmp,
2,0,-1,12,2,stimuli/tunga_12.bmp,stimuli/tunga_02.bmp,
0,0,1,4,1,stimuli/tunga_04.bmp,stimuli/tunga_01.bmp,space
1,0,-1,11,7,stimuli/tunga_11.bmp,stimuli/tunga_07.bmp,
2,1,1,2,12,stimuli/tunga_02.bmp,stimuli/tunga_12.bmp,
2,1,-1,2,12,stimuli/tunga_02.bmp,stimuli/tunga_12.bmp,space
2,0,1,12,2,stimuli/tunga_12.bmp,stimuli/tunga_02.bmp,space
1,0,-1,11,7,stimuli/tunga_11.bmp,stimuli/tunga_07.bmp,
0,1,1,1,4,stimuli/tunga_01.bmp,stimuli/tunga_04.bmp,
1,1,1,7,11,stimuli/tunga_07.bmp,stimuli/tunga_11.bmp,
2,0,1,12,2,stimuli/tunga_12.bmp,stimuli/tunga_02.bmp,space
1,1,1,7,11,stimuli/tunga_07.bmp,stimuli/tunga_11.bmp,
1,0,1,11,7,stimuli/tunga_11.bmp,stimuli/tunga_07.bmp,space
1,0,1,11,7,stimuli/tunga_11.bmp,stimuli/tunga_07.bmp,space
1,0,1,11,7,stimuli/tunga_11.bmp,stimuli/tunga_07.bmp,space
0,1,1,1,4,stimuli/tunga_01.bmp,stimuli/tunga_04.bmp,
2,1,1,2,12,stimuli/tunga_02.bmp,stimuli/tunga_12.bmp,
0,1,1,1,4,stimuli/tunga_01.bmp,stimuli/tunga_04.bmp,
2,1,1,2,12,stimuli/tunga_02.bmp,stimuli/tunga_12.bmp,
0,1,1,1,4,stimuli/tunga_01.bmp,stimuli/tunga_04.bmp,
2,0,-1,12,2,stimuli/tunga_12.bmp,stimuli/tunga_02.bmp,
0,0,1,4,1,stimuli/tunga_04.bmp,stimuli/tunga_01.bmp,space
1,0,1,11,7,stimuli/tunga_11.bmp,stimuli/tunga_07.bmp,space
2,1,-1,2,12,stimuli/tunga_02.bmp,stimuli/tunga_12.bmp,space
2,0,1,12,2,stimuli/tunga_12.bmp,stimuli/tunga_02.bmp,space
2,0,-1,12,2,stimuli/tunga_12.bmp,stimuli/tunga_02.bmp,
1,0,1,11,7,stimuli/tunga_11.bmp,stimuli/tunga_07.bmp,space
0,1,1,1,4,stimuli/tunga_01.bmp,stimuli/tunga_04.bmp,
2,0,1,12,2,stimuli/tunga_12.bmp,stimuli/tunga_02.bmp,space
